1;EXPORT 24JAN24;;MISSING MIGRANTS  - Tracking Deaths Along Migratory Routes;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;IOM - International Organization for Migration;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;www.missingmigrants.iom.int;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;Missing Migrants Project is a joint initiative of IOM's Global Migration Data Analysis Centre (GMDAC) and Media and Communications Division (MCD). ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;UNITED case ID nr.;Incident ID;Main ID;Web ID    (old);Region of Incident;Website Date;Number Dead;Minimum Estimated Number of Missing;Total Dead and Missing;Number of Survivors;Number of Females;Number of Males;Number of Children;Region of Origin;Country of Origin;Cause of Death;Article title;Location of Death;Information Source;LAT;LONG;URL;Migration Route;Source Quality;Incident Type;UNSD Geographical Grouping;Reported Date;Reported Year;Reported Month;IOM Coordinates Getallen omdraaien, onderste eerst in FM  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3050;;2023.MMP1264;2023.MMP1264;;Northern Africa;29/11/23;1;;1;184;;;;Unknown;Unknown;Harsh environmental conditions / lack of adequate shelter, food, water;Muere un migrante a bordo de una barca neumática a punto de naufragar en la costa de Gran Canaria;50 KM south of Gran Canaria, Canary Islands, Spain;rtve, El Pais;LAT  27.38696725;LONG  -15.591935;https://archive.vn/izqYz;Western Africa / Atlantic route to the Canary Islands;3;Incident;Uncategorized;;2023;November;27.38696725, -15.591935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3051;;2023.MMP1262;2023.MMP1262;;Europe;27/11/23;1;;1;9;;;;Northern Africa;Egypt;Harsh environmental conditions / lack of adequate shelter, food, water;Rights groups warn of falling temperatures after migrant death;Kliment Ohridski boulevard near Studentski grad, Sofia, Bulgaria;Bulgarian News Agency, InfoMigrants;LAT  42.65467455;LONG  23.359433;https://archive.vn/wTmfl;Western Balkans;3;Incident;Eastern Europe;;2023;November;42.65467455, 23.359433;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1601;;2023.MMP1182;2023.MMP1182;;Europe;22/11/23;3;;3;58;1;2;;Unknown;Unknown;Drowning;Deux nouveaux décès de migrants lors d'un naufrage dans la Manche;1 km off the coast between Neufchatel-Hardelot and Equihen-Plage (Pas-de-Calais), France;Le Figaro, Préfecture maritime Manche et mer du Nord;LAT  50.642909;LONG  1.555323;https://archive.ph/Lggf7;English Channel to the UK;5;Incident;Western Europe;;2023;November;50.642909, 1.555323;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3052;;2023.MMP1200;2023.MMP1200;;Mediterranean;22/11/23;1;;1;;;;1;Northern Africa;Morocco;Drowning;Hallan el cadáver de un inmigrante en la playa del Chorrillo;In the waters near Chorillo beach, Ceuta, Spain;Ceuta Actualidad;LAT  35.884872;LONG  -5.321659;https://archive.ph/T6rUN;Western Mediterranean;1;Incident;Uncategorized;;2023;November;35.884872, -5.321659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3053;;2023.MMP1287;2023.MMP1287;;Western Asia;22/11/23;1;;1;;;;1;Western Asia;Türkiye;Violence;;Unspecified location on the Turkiye-Bulgaria border;IOM Edirne;LAT 41.774197;LONG 26.340055;;Türkiye-Europe land route;4;Incident;Western Asia;;2023;September;41.774197, 26.340055;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
829;;2023.MMP1180;2023.MMP1180;;Mediterranean;21/11/23;1;8;9;42;;;3;Northern Africa (P);Unknown;Drowning;Migranti: maxi sbarco a Lampedusa, sono in 576;Off the coast of Lampedusa, Italy;ANSA, Reuters;LAT  35.442532;LONG  12.585895;https://archive.ph/ry4Jm;Central Mediterranean;3;Incident;Uncategorized;;2023;November;35.442532, 12.585895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3054;;2023.MMP1183;2023.MMP1183;;Mediterranean;21/11/23;1;;1;46;1;;;Western Africa;Côte d'Ivoire;Drowning;Woman dies in new migrant boat shipwreck off Lampedusa;Off Lampedusa, Italy - Departure from Sfax, Tunisia;ANSA, InfoMigrants;LAT  35.442532;LONG  12.585895;https://archive.vn/TCOTO;Central Mediterranean;3;Incident;Uncategorized;;2023;November;35.442532, 12.585895;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3055;;2023.MMP1185;2023.MMP1185;;Mediterranean;20/11/23;1;;1;;;1;;Unknown;Unknown;Drowning;;Remains found near Al Shat Road, Tripoli, Libya;IOM Libya;LAT  32.90819526;LONG  13.231985;;Central Mediterranean;4;Incident;Uncategorized;;2023;November;32.90819526, 13.231985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
466;;2023.MMP1374;2023.MMP1374;;Mediterranean;19/11/23;;18;18;;;;;Northern Africa;Mixed;Drowning;;Unspecified location in the Mediterranean - embarkation from Tipaza, Algeria en route to Alicante, Spain;;LAT  37.41944382;LONG  1.602233;;Western Mediterranean;4;Incident;Uncategorized;;2023;November;37.41944382, 1.602233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3056;;2023.MMP1177;2023.MMP1177;;Europe;19/11/23;1;;1;;;1;;Unknown;Unknown;Drowning;;Bogovci, Karlovac County, Croatia;Ministry of Interior Police directorate Karlovac County, Radio Mrežnica, IOM Croatia;LAT  45.520571;LONG  15.325849;https://archive.ph/xMEol;Western Balkans;4;Incident;Southern Europe;;2023;November;45.520571, 15.325849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
