data;url;url2;lieu;text;source
18/12/15;http://www.repubblica.it/esteri/2015/12/18/news/migranti_naufragio_al_largo_turchia_quattro_morti_due_sono_bambini-129758505;http://www.repubblica.it/esteri/2015/12/18/news/migranti_naufragio_al_largo_turchia_quattro_morti_due_sono_bambini-129758505;Turchia;Secondo dati diffusi dall'Unicef sono almeno 185 i bambini morti in naufragi nel mare Egeo durante il 2015, lungo la rotta tra Turchia e Grecia;Repubblica
16/12/15;https://news.yahoo.com/five-migrants-three-them-children-drown-way-greece-184358603.html;https://news.yahoo.com/five-migrants-three-them-children-drown-way-greece-184358603.html;Grecia;Naufragio al largo dell'isola di Lesvos. Soccorsi 120 passeggeri, 2 le vittime: un uomo e un bambino. Continuano le ricerche di eventuali dispersi;AFP
16/12/15;http://www.repubblica.it/esteri/2015/12/16/news/migranti_turchia_corpi_bambini-129588559/;http://www.repubblica.it/esteri/2015/12/16/news/migranti_turchia_corpi_bambini-129588559/;Turchia;I corpi senza vita di 2 bambini di pochi anni, con addosso i giubbotti salvagente, sono stati recuperati questa mattina da alcuni pescatori nel Mar Egeo, al largo di Cesme (Izmir);Repubblica
16/12/15;http://www.repubblica.it/esteri/2015/12/16/news/migranti_turchia_corpi_bambini-129588559/;http://www.repubblica.it/esteri/2015/12/16/news/migranti_turchia_corpi_bambini-129588559/;Turchia;I corpi senza vita di 4 bambini di età compresa tra i due e sei anni, sono stati recuperati nelle acque davanti a Bodrum;Repubblica
15/12/15;http://greece.greekreporter.com/2015/12/15/three-more-refugees-found-dead-in-greek-turkish-waters/;http://greece.greekreporter.com/2015/12/15/three-more-refugees-found-dead-in-greek-turkish-waters/;Grecia;Naufragio al largo dell'isola greca di Kastelorizo. I 12 superstiti raccontano di altri 6 passeggeri dispersi in mare, tra cui 3 bambini. Più tardi la Guardia Costiera turca recupera 3 delle salme dall'acqua;Greek Reporter
13/12/15;http://www.hcg.gr/node/11666;http://www.hcg.gr/node/11666;Grecia;Ritrovato un corpo in avanzato stato di decomposizione nelle acque dell'isola di Fournous, in loalità Kariotes;Greek Coast Guard
13/12/15;http://www.hcg.gr/node/11656;http://www.hcg.gr/node/11656;Grecia;Ritrovato un corpo in avanzato stato di decomposizione nelle acque dell'isola di Megisti;Greek Coast Guard
13/12/15;http://en.haberler.com/child-dies-as-refugee-boat-sinks-off-turkish-coast-858390/;http://en.haberler.com/child-dies-as-refugee-boat-sinks-off-turkish-coast-858390/;Turchia;Durante i soccorsi a tre imbarcazioni in difficoltà sulla rotta per l'isola greca di Lesvos, muore un bimbo di 10 anni. La salma è stata consegnata all'ospedale di Dikili, Izmir;Haberler
08/12/15;http://www.hurriyetdailynews.com/13-migrants-killed-as-two-boats-capsize-off-aegean-coast.aspx?PageID=238&NID=92261&NewsCatID=341;http://www.hurriyetdailynews.com/13-migrants-killed-as-two-boats-capsize-off-aegean-coast.aspx?PageID=238&NID=92261&NewsCatID=341;Grecia;In un secondo naufragio al largo dell'isola di Farmakonissi, un gommone con 19 passeggeri a bordo si rovescia in mare. La Guardia Costiera turca presta i soccorsi e recupera in mare il corpo senza vita di un neonato di 6 mesi;Hurriyet
08/12/15;http://www.ekathimerini.com/204174/article/ekathimerini/news/at-least-12-dead-as-migrant-boat-sinks-off-farmakonissi;http://www.ekathimerini.com/204174/article/ekathimerini/news/at-least-12-dead-as-migrant-boat-sinks-off-farmakonissi;Grecia;Almeno 12 persone, tra cui 5 bimbi, sono annegati al largo dell'isola greca di Farmakonissi. Altri 12 passeggeri della stessa imbarcazione sono dati per dispersi;Ekathimerini
